genero,idade,peso,percentual_de_gordura,imc,tipo_de_dieta,tipo_de_treino,frequencia_de_treino_semanal,nivel_de_experiencia
Feminino,58,59.7,21.5,19.26,Vegetariana,Cardio,5,Intermediário
Feminino,52,60.0,21.9,20.51,Vegana,HIIT,2,Iniciante
Feminino,30,76.8,29.0,29.28,Balanceada,Yoga,3,Iniciante
Masculino,29,58.4,27.5,22.54,Balanceada,Força,2,Intermediário
Feminino,39,71.3,24.0,20.18,Baixo Carboidrato,HIIT,1,Iniciante
Masculino,39,55.6,20.4,19.01,Vegetariana,Cardio,5,Avançado
Feminino,38,44.9,20.7,15.91,Vegana,Força,2,Intermediário
Feminino,26,59.2,25.0,25.97,Paleolítica,HIIT,4,Avançado
Masculino,26,87.7,29.9,33.0,Balanceada,Força,4,Avançado
Masculino,45,63.6,29.0,26.83,Vegetariana,Cardio,3,Avançado
Feminino,58,109.5,30.7,30.03,Vegana,Yoga,3,Intermediário
Feminino,56,125.9,35.0,36.39,Baixo Carboidrato,Cardio,3,Intermediário
Feminino,50,70.3,29.3,24.91,Balanceada,Força,1,Iniciante
Masculino,56,85.6,28.6,29.96,Cetogênica,Cardio,5,Avançado
Feminino,33,64.4,22.7,20.32,Vegetariana,Força,4,Intermediário
Masculino,18,60.5,27.3,23.93,Balanceada,Cardio,2,Iniciante
Feminino,28,69.1,28.5,27.69,Vegana,Yoga,2,Intermediário
Masculino,31,97.5,26.5,25.38,Cetogênica,Força,3,Iniciante
Masculino,38,86.0,28.1,25.95,Cetogênica,HIIT,5,Avançado
Masculino,36,56.0,28.4,22.72,Baixo Carboidrato,Força,2,Iniciante
Masculino,52,47.7,19.1,15.4,Vegana,HIIT,3,Intermediário
Feminino,18,64.0,26.8,24.09,Vegana,Cardio,3,Iniciante
Feminino,18,62.4,26.6,24.69,Cetogênica,Cardio,4,Intermediário
Feminino,43,42.2,21.1,15.3,Cetogênica,Yoga,2,Iniciante
Masculino,30,87.2,29.4,30.54,Baixo Carboidrato,Cardio,4,Avançado
Masculino,36,76.2,26.7,22.99,Vegana,Cardio,3,Intermediário
Feminino,18,127.9,32.1,34.7,Paleolítica,Cardio,3,Intermediário
Masculino,24,58.8,23.0,18.99,Vegetariana,Yoga,3,Iniciante
Feminino,41,82.2,30.3,29.82,Vegana,Cardio,4,Avançado
Feminino,42,60.3,20.9,19.92,Cetogênica,Força,5,Avançado
Masculino,28,79.5,32.4,31.45,Paleolítica,HIIT,3,Iniciante
Feminino,53,55.7,23.8,23.18,Vegetariana,Yoga,3,Intermediário
Masculino,43,66.6,20.6,19.47,Paleolítica,Cardio,1,Iniciante
Masculino,26,103.9,34.3,36.81,Balanceada,Cardio,3,Intermediário
Masculino,43,82.5,26.2,21.7,Vegana,Força,5,Intermediário
Feminino,40,63.0,28.8,26.91,Baixo Carboidrato,Yoga,5,Avançado
Masculino,41,43.6,18.6,13.9,Cetogênica,Yoga,3,Iniciante
Masculino,19,73.2,21.1,22.84,Vegetariana,Yoga,2,Iniciante
Masculino,30,51.8,24.9,17.1,Balanceada,Yoga,3,Intermediário
Feminino,51,70.9,27.3,23.97,Cetogênica,HIIT,3,Intermediário
Feminino,32,62.2,25.8,23.41,Paleolítica,HIIT,5,Intermediário
Feminino,21,51.2,24.9,20.27,Paleolítica,Força,3,Intermediário
Feminino,45,51.4,23.6,18.87,Vegana,Cardio,2,Iniciante
Masculino,34,66.4,26.6,25.29,Balanceada,Força,2,Iniciante
Masculino,58,109.1,27.8,29.9,Paleolítica,Yoga,3,Intermediário
Masculino,45,48.5,26.8,18.03,Baixo Carboidrato,Força,4,Intermediário
Feminino,25,64.4,21.4,22.02,Paleolítica,HIIT,3,Iniciante
Feminino,37,54.6,27.0,22.16,Vegana,Força,3,Iniciante
Feminino,54,50.3,24.8,19.41,Baixo Carboidrato,HIIT,1,Iniciante
Masculino,36,69.1,26.7,25.37,Vegana,Yoga,2,Iniciante
Masculino,18,73.4,32.1,30.54,Balanceada,Cardio,3,Iniciante
Masculino,47,68.8,21.5,22.71,Vegetariana,Força,2,Iniciante
Masculino,37,102.8,31.0,28.79,Vegetariana,Yoga,1,Iniciante
Feminino,32,49.3,19.9,18.79,Vegana,HIIT,3,Iniciante
Masculino,30,61.2,27.8,25.49,Vegana,Força,2,Intermediário
Masculino,24,60.2,19.7,18.79,Baixo Carboidrato,Yoga,3,Avançado
Feminino,55,58.9,24.3,24.21,Vegetariana,HIIT,3,Intermediário
Feminino,27,86.6,32.4,27.97,Baixo Carboidrato,Cardio,3,Iniciante
Masculino,25,76.5,24.0,19.9,Cetogênica,Força,2,Iniciante
Masculino,41,76.6,25.5,19.73,Baixo Carboidrato,Cardio,2,Intermediário
Feminino,34,111.9,33.8,32.7,Paleolítica,Yoga,3,Intermediário
Feminino,18,126.7,35.0,45.42,Paleolítica,HIIT,2,Intermediário
Masculino,31,126.4,35.0,37.76,Balanceada,Força,3,Intermediário
Feminino,40,70.0,31.0,29.16,Balanceada,HIIT,3,Iniciante
Feminino,42,55.6,22.0,18.56,Baixo Carboidrato,Força,4,Intermediário
Feminino,56,81.5,24.4,23.56,Paleolítica,HIIT,5,Avançado
Masculino,38,70.7,27.7,30.62,Vegana,HIIT,3,Intermediário
Feminino,55,88.7,33.5,31.43,Paleolítica,Yoga,5,Avançado
Feminino,46,40.4,16.4,13.05,Balanceada,HIIT,3,Iniciante
Masculino,25,105.0,29.0,29.7,Baixo Carboidrato,HIIT,2,Iniciante
Masculino,45,89.7,24.8,27.38,Cetogênica,Força,5,Avançado
Feminino,18,85.2,27.5,24.9,Baixo Carboidrato,Força,4,Intermediário
Masculino,52,82.2,26.2,27.77,Vegetariana,Cardio,4,Intermediário
Feminino,20,76.4,29.4,29.12,Baixo Carboidrato,Cardio,3,Intermediário
Masculino,35,43.9,18.7,16.72,Cetogênica,HIIT,2,Iniciante
Feminino,30,77.8,26.3,24.54,Vegana,HIIT,4,Iniciante
Masculino,55,62.7,20.5,18.13,Balanceada,Yoga,3,Intermediário
Feminino,32,46.2,15.6,12.78,Paleolítica,HIIT,2,Intermediário
Masculino,22,59.0,22.0,18.63,Vegetariana,HIIT,4,Intermediário
Masculino,32,84.3,28.5,27.85,Vegana,Yoga,2,Iniciante
Feminino,29,121.2,25.9,30.31,Cetogênica,Yoga,3,Intermediário
Masculino,33,64.5,22.7,24.27,Cetogênica,HIIT,5,Avançado
Masculino,32,74.1,24.4,23.93,Vegetariana,Yoga,4,Iniciante
Masculino,53,46.1,24.2,20.5,Balanceada,Yoga,2,Iniciante
Masculino,46,59.7,23.5,21.94,Paleolítica,HIIT,3,Intermediário
Masculino,38,59.3,18.2,17.72,Balanceada,Cardio,4,Intermediário
Masculino,18,48.8,24.2,21.13,Paleolítica,Yoga,2,Iniciante
Masculino,36,59.6,22.9,18.81,Baixo Carboidrato,Yoga,1,Iniciante
Masculino,55,70.5,28.9,26.88,Cetogênica,HIIT,2,Iniciante
Masculino,55,86.7,26.4,27.67,Vegana,Cardio,3,Intermediário
Feminino,58,51.7,19.1,16.13,Vegana,HIIT,3,Iniciante
Masculino,51,48.8,16.3,15.58,Baixo Carboidrato,Yoga,2,Iniciante
Masculino,22,61.8,23.7,26.73,Cetogênica,Força,5,Avançado
Feminino,49,55.4,21.6,21.63,Baixo Carboidrato,HIIT,4,Intermediário
Masculino,56,122.1,35.0,34.54,Vegetariana,Cardio,3,Iniciante
Feminino,23,79.3,28.0,26.5,Baixo Carboidrato,HIIT,4,Iniciante
Masculino,38,61.5,21.2,22.31,Balanceada,Força,3,Iniciante
Feminino,59,41.1,19.6,15.11,Cetogênica,Yoga,1,Iniciante
Feminino,50,49.8,21.2,19.22,Vegana,Yoga,1,Iniciante
Feminino,39,57.4,20.5,19.62,Vegetariana,Yoga,4,Intermediário
Masculino,32,46.1,16.4,12.9,Cetogênica,Yoga,3,Intermediário
Masculino,57,108.8,28.6,29.84,Paleolítica,HIIT,2,Intermediário
Masculino,57,75.8,25.4,27.19,Paleolítica,Cardio,3,Iniciante
Feminino,50,56.1,27.8,21.9,Vegetariana,Yoga,5,Avançado
Feminino,39,76.9,24.9,20.87,Vegana,Yoga,4,Iniciante
Masculino,23,60.6,26.6,23.97,Balanceada,HIIT,3,Intermediário
Masculino,47,97.6,28.5,27.04,Balanceada,Força,3,Iniciante
Masculino,49,51.0,22.2,17.87,Vegetariana,Yoga,1,Iniciante
Masculino,48,128.4,35.0,49.52,Baixo Carboidrato,Força,4,Intermediário
Feminino,40,44.1,15.1,14.08,Vegetariana,Força,3,Iniciante
Feminino,45,52.4,14.0,14.81,Baixo Carboidrato,HIIT,4,Intermediário
Masculino,19,76.0,26.3,24.27,Vegetariana,Força,4,Iniciante
Feminino,35,47.8,20.2,16.92,Vegetariana,Cardio,3,Iniciante
Feminino,38,102.0,27.2,27.1,Cetogênica,Yoga,3,Iniciante
Feminino,31,86.2,35.0,33.69,Balanceada,HIIT,5,Intermediário
Feminino,22,70.6,24.4,22.53,Vegana,Cardio,3,Iniciante
Feminino,30,77.2,24.2,24.65,Paleolítica,Yoga,4,Intermediário
Feminino,42,45.1,23.6,17.61,Paleolítica,Cardio,2,Intermediário
Feminino,41,81.3,24.4,23.25,Paleolítica,HIIT,5,Intermediário
Masculino,52,105.0,27.9,26.52,Paleolítica,Cardio,1,Iniciante
Feminino,36,73.5,27.5,23.72,Cetogênica,Yoga,3,Intermediário
Masculino,38,59.0,16.4,15.84,Paleolítica,Força,4,Iniciante
Feminino,22,86.8,25.2,23.81,Balanceada,Yoga,4,Intermediário
Masculino,21,89.3,35.0,34.87,Vegana,Cardio,3,Avançado
Masculino,42,57.5,25.2,23.32,Vegetariana,Yoga,4,Avançado
Feminino,44,59.0,28.2,25.89,Vegetariana,Força,4,Intermediário
Feminino,51,86.0,29.2,26.54,Vegetariana,Força,5,Intermediário
Feminino,36,76.4,25.6,24.4,Vegetariana,HIIT,3,Iniciante
Masculino,31,53.1,21.7,17.14,Paleolítica,Cardio,3,Intermediário
Masculino,45,108.6,35.0,40.39,Balanceada,Força,2,Iniciante
Feminino,52,94.0,27.7,24.73,Paleolítica,HIIT,3,Iniciante
Feminino,29,60.3,25.5,25.08,Baixo Carboidrato,HIIT,3,Intermediário
Feminino,20,100.4,32.0,29.65,Paleolítica,Força,1,Iniciante
Feminino,28,87.4,27.5,25.27,Vegetariana,Cardio,4,Intermediário
Feminino,31,84.3,30.8,27.85,Paleolítica,Força,2,Iniciante
Feminino,30,48.7,25.2,21.38,Baixo Carboidrato,Cardio,2,Iniciante
Feminino,26,110.7,33.2,30.68,Paleolítica,Força,1,Iniciante
Feminino,31,84.2,29.0,27.82,Balanceada,HIIT,2,Iniciante
Masculino,23,44.2,21.9,16.84,Cetogênica,HIIT,1,Iniciante
Feminino,49,70.3,24.3,25.21,Vegana,HIIT,3,Iniciante
Masculino,28,85.1,27.8,26.56,Vegana,HIIT,4,Iniciante
Feminino,21,61.6,26.1,26.65,Vegana,Força,4,Avançado
Masculino,25,40.9,17.7,14.68,Vegana,Yoga,3,Iniciante
Masculino,50,48.6,15.5,15.5,Paleolítica,Cardio,2,Iniciante
Masculino,22,57.5,19.5,19.66,Vegetariana,Yoga,2,Intermediário
Masculino,49,61.0,23.1,17.44,Paleolítica,Yoga,4,Iniciante
Masculino,46,109.0,35.0,40.53,Vegana,Cardio,3,Iniciante
Masculino,23,116.8,35.0,36.45,Vegana,Cardio,3,Iniciante
Masculino,51,48.8,17.5,15.57,Paleolítica,Yoga,1,Iniciante
Masculino,32,67.9,21.8,18.43,Vegana,Força,1,Iniciante
Feminino,18,72.3,26.5,23.61,Baixo Carboidrato,Yoga,4,Intermediário
Feminino,43,54.4,23.2,18.4,Baixo Carboidrato,HIIT,4,Intermediário
Feminino,34,53.6,29.8,23.2,Cetogênica,Yoga,2,Iniciante
Feminino,28,55.9,26.7,24.83,Paleolítica,HIIT,5,Avançado
Masculino,40,56.6,21.9,17.88,Cetogênica,Força,5,Avançado
Feminino,51,50.0,21.2,15.79,Vegetariana,HIIT,1,Iniciante
Feminino,40,66.9,25.0,23.41,Vegetariana,Yoga,1,Iniciante
Masculino,39,72.1,28.9,28.18,Paleolítica,Yoga,3,Iniciante
Feminino,43,69.4,29.2,22.65,Paleolítica,Yoga,3,Iniciante
Feminino,25,74.0,26.8,26.87,Balanceada,Cardio,2,Iniciante
Masculino,50,109.4,35.0,34.54,Vegetariana,HIIT,3,Iniciante
Feminino,45,60.2,24.3,21.33,Vegetariana,Força,3,Intermediário
Feminino,19,55.0,26.6,21.48,Paleolítica,Cardio,4,Iniciante
Masculino,41,48.5,17.8,21.55,Balanceada,HIIT,3,Iniciante
Masculino,28,86.1,34.4,31.61,Baixo Carboidrato,Yoga,4,Intermediário
Feminino,29,121.9,30.8,30.47,Balanceada,Yoga,3,Iniciante
Masculino,38,61.2,23.1,22.74,Balanceada,Cardio,2,Iniciante
Masculino,19,56.9,21.7,16.27,Vegetariana,Cardio,3,Iniciante
Feminino,47,62.2,31.1,26.21,Cetogênica,HIIT,4,Avançado
Feminino,54,83.8,27.5,24.21,Paleolítica,Yoga,5,Intermediário
Masculino,31,63.4,22.7,19.56,Balanceada,Cardio,2,Iniciante
Feminino,29,87.7,27.0,23.55,Paleolítica,Cardio,5,Intermediário
Masculino,46,89.8,28.2,26.52,Vegetariana,HIIT,3,Intermediário
Feminino,56,81.0,26.7,23.4,Baixo Carboidrato,Cardio,4,Intermediário
Feminino,28,85.9,31.0,31.56,Balanceada,Yoga,4,Intermediário
Feminino,21,57.3,19.5,19.37,Paleolítica,Cardio,2,Intermediário
Feminino,37,77.1,24.8,23.27,Baixo Carboidrato,Força,3,Intermediário
Masculino,47,66.8,23.4,21.83,Paleolítica,HIIT,3,Iniciante
Feminino,20,63.4,18.1,20.02,Vegana,Cardio,3,Intermediário
Feminino,31,64.9,27.1,24.73,Cetogênica,Força,1,Iniciante
Masculino,46,79.4,24.8,25.33,Vegana,Yoga,3,Iniciante
Masculino,40,78.5,27.6,26.53,Baixo Carboidrato,Cardio,3,Intermediário
Masculino,24,59.5,29.6,26.44,Cetogênica,Yoga,3,Intermediário
Masculino,42,113.2,31.8,33.81,Baixo Carboidrato,Força,4,Intermediário
Masculino,57,50.4,23.7,18.07,Vegetariana,Força,4,Iniciante
Feminino,43,77.4,28.6,24.14,Paleolítica,Força,3,Iniciante
Feminino,52,71.1,30.6,28.49,Paleolítica,Yoga,2,Intermediário
Feminino,42,65.9,21.2,19.68,Cetogênica,Força,3,Iniciante
Feminino,23,106.8,30.7,28.36,Vegana,Yoga,2,Iniciante
Feminino,58,75.8,25.0,23.92,Vegana,Força,3,Intermediário
Feminino,59,55.0,24.6,22.31,Balanceada,Força,3,Iniciante
Masculino,41,62.1,21.6,23.1,Cetogênica,Yoga,4,Avançado
Masculino,54,55.2,20.2,18.87,Paleolítica,Cardio,2,Iniciante
Masculino,37,76.5,30.5,30.65,Paleolítica,Força,2,Iniciante
Masculino,54,129.8,35.0,43.38,Paleolítica,Força,2,Iniciante
Masculino,49,57.2,23.8,22.35,Baixo Carboidrato,Força,4,Avançado
Feminino,36,56.0,15.6,14.72,Balanceada,Força,3,Iniciante
Masculino,41,71.8,26.9,25.15,Vegetariana,HIIT,3,Intermediário
Masculino,52,79.7,30.4,31.52,Cetogênica,Yoga,3,Iniciante
Feminino,53,69.6,34.5,30.13,Balanceada,Cardio,2,Iniciante
Masculino,24,72.4,25.5,23.39,Balanceada,HIIT,2,Iniciante
Masculino,18,64.9,28.0,27.0,Paleolítica,Força,3,Intermediário
Masculino,25,57.7,23.3,23.1,Baixo Carboidrato,Yoga,3,Intermediário
Masculino,59,86.0,32.6,30.82,Balanceada,Yoga,5,Intermediário
Masculino,35,90.2,32.8,33.13,Vegetariana,Yoga,3,Iniciante
Feminino,58,59.7,20.5,19.28,Balanceada,Força,5,Avançado
Feminino,24,62.3,25.7,23.15,Paleolítica,Força,3,Iniciante
Feminino,20,50.4,26.3,21.55,Vegana,HIIT,2,Iniciante
Feminino,31,61.1,21.5,19.72,Baixo Carboidrato,Força,3,Avançado
Feminino,30,60.3,22.1,19.47,Baixo Carboidrato,Yoga,4,Intermediário
Feminino,32,78.0,25.5,26.68,Baixo Carboidrato,Yoga,3,Iniciante
Feminino,40,93.4,28.0,25.07,Cetogênica,Força,3,Iniciante
Feminino,34,64.6,27.4,24.62,Paleolítica,Yoga,5,Intermediário
Feminino,46,58.4,25.1,24.93,Baixo Carboidrato,Cardio,4,Avançado
Masculino,36,100.2,27.6,25.29,Baixo Carboidrato,Yoga,2,Iniciante
Feminino,46,49.8,21.5,17.44,Cetogênica,Cardio,2,Iniciante
Feminino,33,53.2,29.1,23.04,Cetogênica,HIIT,2,Iniciante
Masculino,48,87.3,28.2,28.17,Balanceada,Cardio,5,Avançado
Feminino,46,128.0,35.0,47.0,Cetogênica,Cardio,2,Iniciante
Feminino,43,61.5,25.5,24.65,Balanceada,Cardio,4,Avançado
Feminino,28,58.9,24.4,22.71,Cetogênica,HIIT,3,Intermediário
Masculino,41,94.2,26.3,23.55,Cetogênica,HIIT,3,Iniciante
Masculino,55,117.7,35.0,39.78,Baixo Carboidrato,Cardio,2,Iniciante
Masculino,32,58.2,21.8,20.87,Baixo Carboidrato,Cardio,3,Iniciante
Masculino,19,73.1,22.3,22.83,Vegetariana,Yoga,2,Iniciante
Masculino,55,90.6,33.4,34.93,Baixo Carboidrato,Yoga,2,Iniciante
Feminino,40,55.2,27.9,22.96,Vegana,HIIT,4,Intermediário
Masculino,49,96.2,33.0,32.51,Baixo Carboidrato,Yoga,3,Iniciante
Masculino,29,68.8,23.5,23.25,Baixo Carboidrato,Yoga,4,Intermediário
Masculino,21,55.1,22.8,20.99,Vegana,Força,4,Avançado
Feminino,31,70.5,24.4,17.98,Paleolítica,Yoga,2,Iniciante
Masculino,44,47.7,17.9,15.39,Balanceada,Cardio,1,Iniciante
Masculino,50,54.5,25.1,23.27,Paleolítica,Força,4,Intermediário
Masculino,18,68.3,22.4,21.09,Baixo Carboidrato,Yoga,4,Intermediário
Masculino,36,122.1,35.0,32.78,Cetogênica,Yoga,3,Intermediário
Masculino,26,77.1,31.3,26.67,Baixo Carboidrato,HIIT,2,Iniciante
Feminino,58,65.2,27.9,28.24,Vegana,Cardio,2,Iniciante
Feminino,41,98.2,26.0,26.92,Vegana,Cardio,3,Intermediário
Masculino,18,73.4,28.0,22.92,Vegetariana,HIIT,2,Iniciante
Masculino,38,77.4,34.9,30.98,Baixo Carboidrato,Yoga,2,Iniciante
Masculino,52,61.5,27.0,22.86,Paleolítica,HIIT,2,Iniciante
Feminino,36,47.9,18.7,16.96,Vegana,HIIT,2,Iniciante
Masculino,52,58.2,24.9,23.9,Balanceada,Cardio,4,Avançado
Masculino,45,90.0,29.4,27.46,Balanceada,Yoga,5,Avançado
Masculino,42,69.2,22.8,19.8,Balanceada,Força,3,Intermediário
Masculino,42,97.9,29.3,26.83,Cetogênica,HIIT,2,Intermediário
Masculino,23,121.4,35.0,35.46,Paleolítica,Cardio,2,Iniciante
Masculino,55,129.4,34.9,34.04,Vegana,Cardio,1,Iniciante
Masculino,45,57.3,18.0,19.37,Baixo Carboidrato,HIIT,4,Iniciante
Masculino,19,57.0,20.3,16.29,Balanceada,Cardio,2,Iniciante
Feminino,24,81.6,29.7,31.47,Vegana,Cardio,3,Avançado
Masculino,59,60.3,19.3,19.47,Baixo Carboidrato,HIIT,5,Intermediário
Feminino,44,65.6,21.6,20.26,Baixo Carboidrato,HIIT,2,Iniciante
Feminino,48,94.7,33.9,32.78,Vegetariana,Yoga,3,Iniciante
Masculino,56,67.5,26.2,27.05,Cetogênica,HIIT,2,Iniciante
Masculino,34,88.0,30.7,32.7,Cetogênica,Força,3,Avançado
Masculino,53,77.8,26.8,21.55,Vegetariana,Cardio,2,Iniciante
Feminino,27,79.1,31.2,31.29,Cetogênica,Força,2,Iniciante
Masculino,53,64.5,25.6,26.83,Vegetariana,Força,4,Intermediário
Masculino,39,58.0,24.5,23.82,Balanceada,HIIT,2,Iniciante
Masculino,26,63.7,28.7,28.71,Vegetariana,HIIT,5,Intermediário
Masculino,53,117.8,35.0,44.89,Baixo Carboidrato,HIIT,4,Iniciante
Feminino,22,48.0,22.9,15.51,Cetogênica,Força,3,Intermediário
Feminino,46,88.8,34.5,34.69,Cetogênica,Cardio,5,Avançado
Masculino,22,82.8,26.6,25.56,Cetogênica,Yoga,2,Iniciante
Masculino,31,57.3,23.6,23.56,Paleolítica,Cardio,5,Intermediário
Feminino,30,78.0,26.7,26.69,Vegetariana,HIIT,4,Iniciante
Masculino,30,86.7,32.7,30.36,Cetogênica,Cardio,3,Intermediário
Masculino,47,42.2,21.5,16.91,Paleolítica,Força,3,Intermediário
Masculino,42,73.2,26.0,27.55,Cetogênica,Cardio,3,Iniciante
Masculino,54,70.0,29.2,30.31,Vegana,Cardio,1,Iniciante
Masculino,32,56.8,25.3,24.24,Paleolítica,Cardio,5,Avançado
Feminino,49,69.8,20.0,19.54,Paleolítica,Yoga,3,Iniciante
Masculino,41,55.9,24.8,23.89,Cetogênica,Cardio,3,Iniciante
Masculino,36,55.7,17.5,14.8,Vegetariana,Cardio,4,Intermediário
Feminino,36,109.5,35.0,41.73,Vegetariana,Cardio,3,Iniciante
Masculino,18,68.4,24.0,21.11,Paleolítica,Cardio,4,Iniciante
Feminino,20,55.2,22.1,17.42,Vegana,Cardio,2,Iniciante
Masculino,25,59.6,26.9,26.14,Paleolítica,Força,5,Avançado
Feminino,51,47.5,20.8,20.04,Vegana,HIIT,3,Intermediário
Feminino,19,71.7,29.4,28.71,Vegetariana,Cardio,2,Intermediário
Masculino,45,48.1,19.2,17.9,Paleolítica,Cardio,3,Iniciante
Feminino,46,66.9,24.1,22.08,Vegetariana,Yoga,2,Intermediário
Feminino,28,57.2,17.9,18.26,Balanceada,Força,3,Iniciante
Feminino,43,81.0,25.2,25.58,Balanceada,Força,5,Avançado
Feminino,19,72.1,20.6,19.15,Baixo Carboidrato,Yoga,3,Iniciante
Feminino,29,53.9,21.0,23.33,Vegetariana,Yoga,3,Iniciante
Feminino,21,111.5,35.0,39.04,Paleolítica,Força,3,Iniciante
Feminino,38,47.0,19.9,14.65,Paleolítica,HIIT,3,Iniciante
Masculino,48,81.6,24.8,21.47,Vegana,HIIT,5,Avançado
Masculino,42,43.9,15.6,15.94,Baixo Carboidrato,HIIT,2,Iniciante
Feminino,37,74.7,26.7,22.56,Vegetariana,Yoga,3,Intermediário
Masculino,22,61.2,25.2,23.3,Vegetariana,HIIT,4,Avançado
Feminino,36,99.5,26.8,25.12,Paleolítica,HIIT,2,Iniciante
Feminino,31,63.7,25.3,19.67,Baixo Carboidrato,Yoga,1,Iniciante
Masculino,41,63.2,18.8,16.12,Paleolítica,HIIT,4,Intermediário
Masculino,35,50.6,25.4,19.77,Baixo Carboidrato,Yoga,4,Intermediário
Feminino,51,57.4,21.1,18.33,Cetogênica,Força,3,Intermediário
Masculino,31,66.1,26.4,23.7,Baixo Carboidrato,Força,3,Iniciante
Feminino,56,67.7,32.2,27.11,Paleolítica,Yoga,1,Iniciante
Masculino,57,58.4,27.8,21.2,Vegana,Força,1,Iniciante
Masculino,39,71.8,26.9,20.31,Vegana,Yoga,2,Iniciante
Feminino,18,65.9,30.3,27.45,Balanceada,HIIT,2,Intermediário
Feminino,52,66.6,30.0,26.0,Vegana,HIIT,3,Iniciante
Masculino,47,81.2,29.0,25.9,Balanceada,Yoga,3,Intermediário
Feminino,43,110.4,35.0,35.64,Cetogênica,HIIT,3,Iniciante
Feminino,53,79.4,23.5,22.0,Baixo Carboidrato,Yoga,1,Iniciante
Feminino,45,118.2,29.3,31.08,Vegetariana,Yoga,2,Iniciante
