genero,idade,peso,percentual_de_gordura,imc,classificacao_imc,tipo_de_dieta,tipo_de_treino,frequencia_de_treino_semanal,nivel_de_experiencia
Masculino,36,69.1,26.7,25.37,Sobrepeso,Vegana,Yoga,2,Iniciante
Masculino,18,73.4,32.1,30.54,Obesidade Grau I,Balanceada,Cardio,3,Iniciante
Masculino,47,68.8,21.5,22.71,Peso Normal,Vegetariana,Força,2,Iniciante
Masculino,37,102.8,31.0,28.79,Sobrepeso,Vegetariana,Yoga,1,Iniciante
Feminino,32,49.3,19.9,18.79,Peso Normal,Vegana,HIIT,3,Iniciante
Masculino,30,61.2,27.8,25.49,Sobrepeso,Vegana,Força,2,Intermediário
Masculino,24,60.2,19.7,18.79,Peso Normal,Baixo Carboidrato,Yoga,3,Avançado
Feminino,55,58.9,24.3,24.21,Peso Normal,Vegetariana,HIIT,3,Intermediário
Feminino,27,86.6,32.4,27.97,Sobrepeso,Baixo Carboidrato,Cardio,3,Iniciante
Masculino,25,76.5,24.0,19.9,Peso Normal,Cetogênica,Força,2,Iniciante
Masculino,41,76.6,25.5,19.73,Peso Normal,Baixo Carboidrato,Cardio,2,Intermediário
Feminino,34,111.9,33.8,32.7,Obesidade Grau I,Paleolítica,Yoga,3,Intermediário
Feminino,18,126.7,35.0,45.42,Obesidade Grau III,Paleolítica,HIIT,2,Intermediário
Masculino,31,126.4,35.0,37.76,Obesidade Grau II,Balanceada,Força,3,Intermediário
Feminino,40,70.0,31.0,29.16,Sobrepeso,Balanceada,HIIT,3,Iniciante
Feminino,42,55.6,22.0,18.56,Peso Normal,Baixo Carboidrato,Força,4,Intermediário
Feminino,56,81.5,24.4,23.56,Peso Normal,Paleolítica,HIIT,5,Avançado
Masculino,38,70.7,27.7,30.62,Obesidade Grau I,Vegana,HIIT,3,Intermediário
Feminino,55,88.7,33.5,31.43,Obesidade Grau I,Paleolítica,Yoga,5,Avançado
Feminino,46,40.4,16.4,13.05,Abaixo do Peso,Balanceada,HIIT,3,Iniciante
Masculino,25,105.0,29.0,29.7,Sobrepeso,Baixo Carboidrato,HIIT,2,Iniciante
Masculino,45,89.7,24.8,27.38,Sobrepeso,Cetogênica,Força,5,Avançado
Feminino,18,85.2,27.5,24.9,Peso Normal,Baixo Carboidrato,Força,4,Intermediário
Masculino,52,82.2,26.2,27.77,Sobrepeso,Vegetariana,Cardio,4,Intermediário
Feminino,20,76.4,29.4,29.12,Sobrepeso,Baixo Carboidrato,Cardio,3,Intermediário
Masculino,35,43.9,18.7,16.72,Abaixo do Peso,Cetogênica,HIIT,2,Iniciante
Feminino,30,77.8,26.3,24.54,Peso Normal,Vegana,HIIT,4,Iniciante
Masculino,55,62.7,20.5,18.13,Abaixo do Peso,Balanceada,Yoga,3,Intermediário
Feminino,32,46.2,15.6,12.78,Abaixo do Peso,Paleolítica,HIIT,2,Intermediário
Masculino,22,59.0,22.0,18.63,Peso Normal,Vegetariana,HIIT,4,Intermediário
Masculino,32,84.3,28.5,27.85,Sobrepeso,Vegana,Yoga,2,Iniciante
Feminino,29,121.2,25.9,30.31,Obesidade Grau I,Cetogênica,Yoga,3,Intermediário
Masculino,33,64.5,22.7,24.27,Peso Normal,Cetogênica,HIIT,5,Avançado
Masculino,32,74.1,24.4,23.93,Peso Normal,Vegetariana,Yoga,4,Iniciante
Masculino,53,46.1,24.2,20.5,Peso Normal,Balanceada,Yoga,2,Iniciante
Masculino,46,59.7,23.5,21.94,Peso Normal,Paleolítica,HIIT,3,Intermediário
Masculino,38,59.3,18.2,17.72,Abaixo do Peso,Balanceada,Cardio,4,Intermediário
Masculino,18,48.8,24.2,21.13,Peso Normal,Paleolítica,Yoga,2,Iniciante
Masculino,36,59.6,22.9,18.81,Peso Normal,Baixo Carboidrato,Yoga,1,Iniciante
Masculino,55,70.5,28.9,26.88,Sobrepeso,Cetogênica,HIIT,2,Iniciante
Masculino,55,86.7,26.4,27.67,Sobrepeso,Vegana,Cardio,3,Intermediário
Feminino,58,51.7,19.1,16.13,Abaixo do Peso,Vegana,HIIT,3,Iniciante
Masculino,51,48.8,16.3,15.58,Abaixo do Peso,Baixo Carboidrato,Yoga,2,Iniciante
Masculino,22,61.8,23.7,26.73,Sobrepeso,Cetogênica,Força,5,Avançado
Feminino,49,55.4,21.6,21.63,Peso Normal,Baixo Carboidrato,HIIT,4,Intermediário
Masculino,56,122.1,35.0,34.54,Obesidade Grau I,Vegetariana,Cardio,3,Iniciante
Feminino,23,79.3,28.0,26.5,Sobrepeso,Baixo Carboidrato,HIIT,4,Iniciante
Masculino,38,61.5,21.2,22.31,Peso Normal,Balanceada,Força,3,Iniciante
Feminino,59,41.1,19.6,15.11,Abaixo do Peso,Cetogênica,Yoga,1,Iniciante
Feminino,50,49.8,21.2,19.22,Peso Normal,Vegana,Yoga,1,Iniciante
Feminino,39,57.4,20.5,19.62,Peso Normal,Vegetariana,Yoga,4,Intermediário
Masculino,32,46.1,16.4,12.9,Abaixo do Peso,Cetogênica,Yoga,3,Intermediário
Masculino,57,108.8,28.6,29.84,Sobrepeso,Paleolítica,HIIT,2,Intermediário
Masculino,57,75.8,25.4,27.19,Sobrepeso,Paleolítica,Cardio,3,Iniciante
Feminino,50,56.1,27.8,21.9,Peso Normal,Vegetariana,Yoga,5,Avançado
Feminino,39,76.9,24.9,20.87,Peso Normal,Vegana,Yoga,4,Iniciante
Masculino,23,60.6,26.6,23.97,Peso Normal,Balanceada,HIIT,3,Intermediário
Masculino,47,97.6,28.5,27.04,Sobrepeso,Balanceada,Força,3,Iniciante
Masculino,49,51.0,22.2,17.87,Abaixo do Peso,Vegetariana,Yoga,1,Iniciante
Masculino,48,128.4,35.0,49.52,Obesidade Grau III,Baixo Carboidrato,Força,4,Intermediário
Feminino,40,44.1,15.1,14.08,Abaixo do Peso,Vegetariana,Força,3,Iniciante
Feminino,45,52.4,14.0,14.81,Abaixo do Peso,Baixo Carboidrato,HIIT,4,Intermediário
Masculino,19,76.0,26.3,24.27,Peso Normal,Vegetariana,Força,4,Iniciante
Feminino,35,47.8,20.2,16.92,Abaixo do Peso,Vegetariana,Cardio,3,Iniciante
Feminino,38,102.0,27.2,27.1,Sobrepeso,Cetogênica,Yoga,3,Iniciante
Feminino,31,86.2,35.0,33.69,Obesidade Grau I,Balanceada,HIIT,5,Intermediário
Feminino,22,70.6,24.4,22.53,Peso Normal,Vegana,Cardio,3,Iniciante
Feminino,30,77.2,24.2,24.65,Peso Normal,Paleolítica,Yoga,4,Intermediário
Feminino,42,45.1,23.6,17.61,Abaixo do Peso,Paleolítica,Cardio,2,Intermediário
Feminino,41,81.3,24.4,23.25,Peso Normal,Paleolítica,HIIT,5,Intermediário
Masculino,52,105.0,27.9,26.52,Sobrepeso,Paleolítica,Cardio,1,Iniciante
Feminino,36,73.5,27.5,23.72,Peso Normal,Cetogênica,Yoga,3,Intermediário
Masculino,38,59.0,16.4,15.84,Abaixo do Peso,Paleolítica,Força,4,Iniciante
Feminino,22,86.8,25.2,23.81,Peso Normal,Balanceada,Yoga,4,Intermediário
Masculino,21,89.3,35.0,34.87,Obesidade Grau I,Vegana,Cardio,3,Avançado
Masculino,42,57.5,25.2,23.32,Peso Normal,Vegetariana,Yoga,4,Avançado
Feminino,44,59.0,28.2,25.89,Sobrepeso,Vegetariana,Força,4,Intermediário
Feminino,51,86.0,29.2,26.54,Sobrepeso,Vegetariana,Força,5,Intermediário
Feminino,36,76.4,25.6,24.4,Peso Normal,Vegetariana,HIIT,3,Iniciante
Masculino,31,53.1,21.7,17.14,Abaixo do Peso,Paleolítica,Cardio,3,Intermediário
Masculino,45,108.6,35.0,40.39,Obesidade Grau III,Balanceada,Força,2,Iniciante
Feminino,52,94.0,27.7,24.73,Peso Normal,Paleolítica,HIIT,3,Iniciante
Feminino,29,60.3,25.5,25.08,Sobrepeso,Baixo Carboidrato,HIIT,3,Intermediário
Feminino,20,100.4,32.0,29.65,Sobrepeso,Paleolítica,Força,1,Iniciante
Feminino,28,87.4,27.5,25.27,Sobrepeso,Vegetariana,Cardio,4,Intermediário
Feminino,31,84.3,30.8,27.85,Sobrepeso,Paleolítica,Força,2,Iniciante
Feminino,30,48.7,25.2,21.38,Peso Normal,Baixo Carboidrato,Cardio,2,Iniciante
Feminino,26,110.7,33.2,30.68,Obesidade Grau I,Paleolítica,Força,1,Iniciante
Feminino,31,84.2,29.0,27.82,Sobrepeso,Balanceada,HIIT,2,Iniciante
Masculino,23,44.2,21.9,16.84,Abaixo do Peso,Cetogênica,HIIT,1,Iniciante
Feminino,49,70.3,24.3,25.21,Sobrepeso,Vegana,HIIT,3,Iniciante
Masculino,28,85.1,27.8,26.56,Sobrepeso,Vegana,HIIT,4,Iniciante
Feminino,21,61.6,26.1,26.65,Sobrepeso,Vegana,Força,4,Avançado
Masculino,25,40.9,17.7,14.68,Abaixo do Peso,Vegana,Yoga,3,Iniciante
Masculino,50,48.6,15.5,15.5,Abaixo do Peso,Paleolítica,Cardio,2,Iniciante
Masculino,22,57.5,19.5,19.66,Peso Normal,Vegetariana,Yoga,2,Intermediário
Masculino,49,61.0,23.1,17.44,Abaixo do Peso,Paleolítica,Yoga,4,Iniciante
Masculino,46,109.0,35.0,40.53,Obesidade Grau III,Vegana,Cardio,3,Iniciante
Masculino,23,116.8,35.0,36.45,Obesidade Grau II,Vegana,Cardio,3,Iniciante
Masculino,51,48.8,17.5,15.57,Abaixo do Peso,Paleolítica,Yoga,1,Iniciante
Masculino,32,67.9,21.8,18.43,Abaixo do Peso,Vegana,Força,1,Iniciante
Feminino,18,72.3,26.5,23.61,Peso Normal,Baixo Carboidrato,Yoga,4,Intermediário
Feminino,43,54.4,23.2,18.4,Abaixo do Peso,Baixo Carboidrato,HIIT,4,Intermediário
Feminino,34,53.6,29.8,23.2,Peso Normal,Cetogênica,Yoga,2,Iniciante
Feminino,28,55.9,26.7,24.83,Peso Normal,Paleolítica,HIIT,5,Avançado
Masculino,40,56.6,21.9,17.88,Abaixo do Peso,Cetogênica,Força,5,Avançado
Feminino,51,50.0,21.2,15.79,Abaixo do Peso,Vegetariana,HIIT,1,Iniciante
Feminino,40,66.9,25.0,23.41,Peso Normal,Vegetariana,Yoga,1,Iniciante
Masculino,39,72.1,28.9,28.18,Sobrepeso,Paleolítica,Yoga,3,Iniciante
Feminino,43,69.4,29.2,22.65,Peso Normal,Paleolítica,Yoga,3,Iniciante
Feminino,25,74.0,26.8,26.87,Sobrepeso,Balanceada,Cardio,2,Iniciante
Masculino,50,109.4,35.0,34.54,Obesidade Grau I,Vegetariana,HIIT,3,Iniciante
Feminino,45,60.2,24.3,21.33,Peso Normal,Vegetariana,Força,3,Intermediário
Feminino,19,55.0,26.6,21.48,Peso Normal,Paleolítica,Cardio,4,Iniciante
Masculino,41,48.5,17.8,21.55,Peso Normal,Balanceada,HIIT,3,Iniciante
Masculino,28,86.1,34.4,31.61,Obesidade Grau I,Baixo Carboidrato,Yoga,4,Intermediário
Feminino,29,121.9,30.8,30.47,Obesidade Grau I,Balanceada,Yoga,3,Iniciante
Masculino,38,61.2,23.1,22.74,Peso Normal,Balanceada,Cardio,2,Iniciante
Masculino,19,56.9,21.7,16.27,Abaixo do Peso,Vegetariana,Cardio,3,Iniciante
Feminino,47,62.2,31.1,26.21,Sobrepeso,Cetogênica,HIIT,4,Avançado
Feminino,54,83.8,27.5,24.21,Peso Normal,Paleolítica,Yoga,5,Intermediário
Masculino,31,63.4,22.7,19.56,Peso Normal,Balanceada,Cardio,2,Iniciante
Feminino,29,87.7,27.0,23.55,Peso Normal,Paleolítica,Cardio,5,Intermediário
Masculino,46,89.8,28.2,26.52,Sobrepeso,Vegetariana,HIIT,3,Intermediário
Feminino,56,81.0,26.7,23.4,Peso Normal,Baixo Carboidrato,Cardio,4,Intermediário
Feminino,28,85.9,31.0,31.56,Obesidade Grau I,Balanceada,Yoga,4,Intermediário
Feminino,21,57.3,19.5,19.37,Peso Normal,Paleolítica,Cardio,2,Intermediário
Feminino,37,77.1,24.8,23.27,Peso Normal,Baixo Carboidrato,Força,3,Intermediário
Masculino,47,66.8,23.4,21.83,Peso Normal,Paleolítica,HIIT,3,Iniciante
Feminino,20,63.4,18.1,20.02,Peso Normal,Vegana,Cardio,3,Intermediário
Feminino,31,64.9,27.1,24.73,Peso Normal,Cetogênica,Força,1,Iniciante
Masculino,46,79.4,24.8,25.33,Sobrepeso,Vegana,Yoga,3,Iniciante
Masculino,40,78.5,27.6,26.53,Sobrepeso,Baixo Carboidrato,Cardio,3,Intermediário
Masculino,24,59.5,29.6,26.44,Sobrepeso,Cetogênica,Yoga,3,Intermediário
Masculino,42,113.2,31.8,33.81,Obesidade Grau I,Baixo Carboidrato,Força,4,Intermediário
Masculino,57,50.4,23.7,18.07,Abaixo do Peso,Vegetariana,Força,4,Iniciante
Feminino,43,77.4,28.6,24.14,Peso Normal,Paleolítica,Força,3,Iniciante
Feminino,52,71.1,30.6,28.49,Sobrepeso,Paleolítica,Yoga,2,Intermediário
Feminino,42,65.9,21.2,19.68,Peso Normal,Cetogênica,Força,3,Iniciante
Feminino,23,106.8,30.7,28.36,Sobrepeso,Vegana,Yoga,2,Iniciante
Feminino,58,75.8,25.0,23.92,Peso Normal,Vegana,Força,3,Intermediário
Feminino,59,55.0,24.6,22.31,Peso Normal,Balanceada,Força,3,Iniciante
Masculino,41,62.1,21.6,23.1,Peso Normal,Cetogênica,Yoga,4,Avançado
Masculino,54,55.2,20.2,18.87,Peso Normal,Paleolítica,Cardio,2,Iniciante
Masculino,37,76.5,30.5,30.65,Obesidade Grau I,Paleolítica,Força,2,Iniciante
Masculino,54,129.8,35.0,43.38,Obesidade Grau III,Paleolítica,Força,2,Iniciante
Masculino,49,57.2,23.8,22.35,Peso Normal,Baixo Carboidrato,Força,4,Avançado
Feminino,36,56.0,15.6,14.72,Abaixo do Peso,Balanceada,Força,3,Iniciante
Masculino,41,71.8,26.9,25.15,Sobrepeso,Vegetariana,HIIT,3,Intermediário
Masculino,52,79.7,30.4,31.52,Obesidade Grau I,Cetogênica,Yoga,3,Iniciante
Feminino,53,69.6,34.5,30.13,Obesidade Grau I,Balanceada,Cardio,2,Iniciante
Masculino,24,72.4,25.5,23.39,Peso Normal,Balanceada,HIIT,2,Iniciante
Masculino,18,64.9,28.0,27.0,Sobrepeso,Paleolítica,Força,3,Intermediário
Masculino,25,57.7,23.3,23.1,Peso Normal,Baixo Carboidrato,Yoga,3,Intermediário
Masculino,59,86.0,32.6,30.82,Obesidade Grau I,Balanceada,Yoga,5,Intermediário
Masculino,35,90.2,32.8,33.13,Obesidade Grau I,Vegetariana,Yoga,3,Iniciante
Feminino,58,59.7,20.5,19.28,Peso Normal,Balanceada,Força,5,Avançado
Feminino,24,62.3,25.7,23.15,Peso Normal,Paleolítica,Força,3,Iniciante
Feminino,20,50.4,26.3,21.55,Peso Normal,Vegana,HIIT,2,Iniciante
Feminino,31,61.1,21.5,19.72,Peso Normal,Baixo Carboidrato,Força,3,Avançado
Feminino,30,60.3,22.1,19.47,Peso Normal,Baixo Carboidrato,Yoga,4,Intermediário
Feminino,32,78.0,25.5,26.68,Sobrepeso,Baixo Carboidrato,Yoga,3,Iniciante
Feminino,40,93.4,28.0,25.07,Sobrepeso,Cetogênica,Força,3,Iniciante
Feminino,34,64.6,27.4,24.62,Peso Normal,Paleolítica,Yoga,5,Intermediário
Feminino,46,58.4,25.1,24.93,Obesidade Grau III,Baixo Carboidrato,Cardio,4,Avançado
Masculino,36,100.2,27.6,25.29,Sobrepeso,Baixo Carboidrato,Yoga,2,Iniciante
Feminino,46,49.8,21.5,17.44,Abaixo do Peso,Cetogênica,Cardio,2,Iniciante
Feminino,33,53.2,29.1,23.04,Peso Normal,Cetogênica,HIIT,2,Iniciante
Masculino,48,87.3,28.2,28.17,Sobrepeso,Balanceada,Cardio,5,Avançado
Feminino,46,128.0,35.0,47.0,Obesidade Grau III,Cetogênica,Cardio,2,Iniciante
Feminino,43,61.5,25.5,24.65,Peso Normal,Balanceada,Cardio,4,Avançado
Feminino,28,58.9,24.4,22.71,Peso Normal,Cetogênica,HIIT,3,Intermediário
Masculino,41,94.2,26.3,23.55,Peso Normal,Cetogênica,HIIT,3,Iniciante
Masculino,55,117.7,35.0,39.78,Obesidade Grau II,Baixo Carboidrato,Cardio,2,Iniciante
Masculino,32,58.2,21.8,20.87,Peso Normal,Baixo Carboidrato,Cardio,3,Iniciante
Masculino,19,73.1,22.3,22.83,Peso Normal,Vegetariana,Yoga,2,Iniciante
Masculino,55,90.6,33.4,34.93,Obesidade Grau III,Baixo Carboidrato,Yoga,2,Iniciante
Feminino,40,55.2,27.9,22.96,Peso Normal,Vegana,HIIT,4,Intermediário
Masculino,49,96.2,33.0,32.51,Obesidade Grau I,Baixo Carboidrato,Yoga,3,Iniciante
Masculino,29,68.8,23.5,23.25,Peso Normal,Baixo Carboidrato,Yoga,4,Intermediário
Masculino,21,55.1,22.8,20.99,Peso Normal,Vegana,Força,4,Avançado
Feminino,31,70.5,24.4,17.98,Abaixo do Peso,Paleolítica,Yoga,2,Iniciante
Masculino,44,47.7,17.9,15.39,Abaixo do Peso,Balanceada,Cardio,1,Iniciante
Masculino,50,54.5,25.1,23.27,Peso Normal,Paleolítica,Força,4,Intermediário
Masculino,18,68.3,22.4,21.09,Peso Normal,Baixo Carboidrato,Yoga,4,Intermediário
Masculino,36,122.1,35.0,32.78,Obesidade Grau I,Cetogênica,Yoga,3,Intermediário
Masculino,26,77.1,31.3,26.67,Sobrepeso,Baixo Carboidrato,HIIT,2,Iniciante
Feminino,58,65.2,27.9,28.24,Sobrepeso,Vegana,Cardio,2,Iniciante
Feminino,41,98.2,26.0,26.92,Sobrepeso,Vegana,Cardio,3,Intermediário
Masculino,18,73.4,28.0,22.92,Peso Normal,Vegetariana,HIIT,2,Iniciante
Masculino,38,77.4,34.9,30.98,Obesidade Grau I,Baixo Carboidrato,Yoga,2,Iniciante
Masculino,52,61.5,27.0,22.86,Peso Normal,Paleolítica,HIIT,2,Iniciante
Feminino,36,47.9,18.7,16.96,Abaixo do Peso,Vegana,HIIT,2,Iniciante
Masculino,52,58.2,24.9,23.9,Peso Normal,Balanceada,Cardio,4,Avançado
Masculino,45,90.0,29.4,27.46,Sobrepeso,Balanceada,Yoga,5,Avançado
Masculino,42,69.2,22.8,19.8,Peso Normal,Balanceada,Força,3,Intermediário
